feature,mean_abs_shap
velocity_hours,0.41623161550332904
burstiness,0.22512721083007894
inflow_outflow_asymmetry,0.22104117140025095
smart_contract_flag,0.20012549243446567
max_tx_size,0.1942959539202459
counterparty_diversity,0.18416362772637873
avg_tx_size,0.17985230715731051
collateral_ratio,0.17680508101390824
tx_count,0.17637895887007765
total_sent,0.170002331512659
total_received,0.16434043253886596
tx_per_day,0.15012234230245522
timing_entropy,0.14825576502780008
net_balance_change,0.11742915876445102
unique_counterparties,0.10189450743597266
high_value_ratio,0.06371637716252002
active_days,0.0
